I1	freq	reliability
0.000000	0.000000	0.009599
0.000000	1.000000	-1.000000
0.000000	2.000000	0.010140
0.000000	3.000000	0.009103
0.000000	4.000000	0.010580
0.000000	5.000000	0.007557
0.000000	6.000000	0.009205
0.000000	7.000000	0.010435
0.000000	8.000000	-1.000000
0.000000	9.000000	0.012650
0.000000	10.000000	-1.000000
0.000000	11.000000	-1.000000
0.000000	12.000000	0.008958
0.000000	13.000000	0.010208
0.000000	14.000000	0.012560
0.000000	15.000000	0.010102
0.000000	16.000000	0.009022
0.000000	17.000000	0.011347
0.000000	18.000000	0.008194
0.000000	19.000000	0.014915
0.000000	20.000000	0.009495
0.000000	21.000000	0.014928
0.000000	22.000000	0.014184
0.000000	23.000000	0.012672
0.000000	24.000000	0.014721
0.000000	25.000000	0.015785
0.000000	26.000000	0.010917
0.000000	27.000000	0.007995
0.000000	28.000000	0.010556
0.000000	29.000000	-1.000000
0.000000	30.000000	0.010842
0.000000	31.000000	0.010012
0.000000	32.000000	0.008954
0.000000	33.000000	0.012170
0.000000	34.000000	0.006513
0.000000	35.000000	0.008536
0.000000	36.000000	0.009150
0.000000	37.000000	0.008335
0.000000	38.000000	0.008173
0.000000	39.000000	0.010140
0.000000	40.000000	-1.000000
0.000000	41.000000	0.012985
0.000000	42.000000	-1.000000
0.000000	43.000000	0.009670
0.000000	44.000000	0.009296
0.000000	45.000000	0.014289
0.000000	46.000000	0.010010
0.000000	47.000000	0.008811
0.000000	48.000000	0.010292
0.000000	49.000000	-1.000000
0.000000	50.000000	0.009000
0.000000	51.000000	0.008333
0.000000	52.000000	0.008346
0.000000	53.000000	0.014933
0.000000	54.000000	-1.000000
0.000000	55.000000	0.025379
0.000000	56.000000	0.010344
0.000000	57.000000	0.009773
0.000000	58.000000	0.011339
0.000000	59.000000	0.008752
0.000000	60.000000	0.009009
0.000000	61.000000	0.014669
0.000000	62.000000	0.010556
0.000000	63.000000	0.011805
0.000000	64.000000	0.012129
0.000000	65.000000	0.010102
0.000000	66.000000	0.010926
0.000000	67.000000	0.009449
0.000000	68.000000	0.009912
0.000000	69.000000	0.011694
0.000000	70.000000	0.014830
0.000000	71.000000	0.009852
0.000000	72.000000	0.010926
0.000000	73.000000	0.015302
0.000000	74.000000	-1.000000
0.000000	75.000000	0.013112
0.000000	76.000000	0.008245
0.000000	77.000000	0.013419
0.000000	78.000000	0.010140
0.000000	79.000000	0.010276
0.000000	80.000000	0.010556
0.000000	81.000000	0.011060
0.000000	82.000000	0.014179
0.000000	83.000000	0.008300
0.000000	84.000000	0.011911
0.000000	85.000000	0.008502
0.000000	86.000000	0.010556
0.000000	87.000000	0.010556
0.000000	88.000000	0.009046
0.000000	89.000000	-1.000000
0.000000	90.000000	0.009495
0.000000	91.000000	0.011131
0.000000	92.000000	0.010553
0.000000	93.000000	0.007929
0.000000	94.000000	0.008869
0.000000	95.000000	0.011891
0.000000	96.000000	-1.000000
0.000000	97.000000	0.010460
0.000000	98.000000	0.011814
0.000000	99.000000	-1.000000
0.000000	100.000000	0.009495
0.000000	101.000000	0.010000
0.000000	102.000000	0.011350
0.000000	103.000000	-1.000000
0.000000	104.000000	0.007471
0.000000	105.000000	-1.000000
0.000000	106.000000	0.010313
0.000000	107.000000	-1.000000
0.000000	108.000000	0.010105
0.000000	109.000000	0.009858
0.000000	110.000000	0.010584
0.000000	111.000000	0.009733
0.000000	112.000000	0.011286
0.000000	113.000000	0.009444
0.000000	114.000000	0.012580
0.000000	115.000000	0.010362
0.000000	116.000000	0.010656
0.000000	117.000000	0.007460
0.000000	118.000000	0.011347
0.000000	119.000000	0.013479
0.000000	120.000000	0.010742
0.100000	0.000000	0.010662
0.100000	1.000000	0.012733
0.100000	2.000000	0.014239
0.100000	3.000000	0.010140
0.100000	4.000000	0.014149
0.100000	5.000000	0.009467
0.100000	6.000000	0.010435
0.100000	7.000000	0.009673
0.100000	8.000000	0.009898
0.100000	9.000000	0.008908
0.100000	10.000000	0.010928
0.100000	11.000000	0.009670
0.100000	12.000000	0.010556
0.100000	13.000000	-1.000000
0.100000	14.000000	0.008774
0.100000	15.000000	0.009539
0.100000	16.000000	0.009587
0.100000	17.000000	0.010000
0.100000	18.000000	0.011137
0.100000	19.000000	0.017063
0.100000	20.000000	-1.000000
0.100000	21.000000	0.012937
0.100000	22.000000	0.012053
0.100000	23.000000	0.010435
0.100000	24.000000	0.010435
0.100000	25.000000	0.010012
0.100000	26.000000	0.010012
0.100000	27.000000	0.011122
0.100000	28.000000	-1.000000
0.100000	29.000000	0.010401
0.100000	30.000000	0.009670
0.100000	31.000000	0.008377
0.100000	32.000000	0.010328
0.100000	33.000000	0.008589
0.100000	34.000000	0.011554
0.100000	35.000000	0.010926
0.100000	36.000000	0.014467
0.100000	37.000000	0.010556
0.100000	38.000000	0.011458
0.100000	39.000000	0.010750
0.100000	40.000000	0.010556
0.100000	41.000000	0.019717
0.100000	42.000000	0.009732
0.100000	43.000000	0.009917
0.100000	44.000000	0.010492
0.100000	45.000000	-1.000000
0.100000	46.000000	0.013333
0.100000	47.000000	0.016635
0.100000	48.000000	0.010308
0.100000	49.000000	-1.000000
0.100000	50.000000	0.010848
0.100000	51.000000	0.013846
0.100000	52.000000	0.013255
0.100000	53.000000	0.018797
0.100000	54.000000	0.026853
0.100000	55.000000	0.011448
0.100000	56.000000	0.008231
0.100000	57.000000	0.010384
0.100000	58.000000	0.009050
0.100000	59.000000	0.007368
0.100000	60.000000	0.014711
0.100000	61.000000	0.010060
0.100000	62.000000	0.011397
0.100000	63.000000	0.009115
0.100000	64.000000	0.010722
0.100000	65.000000	0.006837
0.100000	66.000000	0.011485
0.100000	67.000000	0.010164
0.100000	68.000000	0.014474
0.100000	69.000000	0.012382
0.100000	70.000000	0.012356
0.100000	71.000000	0.010333
0.100000	72.000000	0.012171
0.100000	73.000000	0.010156
0.100000	74.000000	0.010272
0.100000	75.000000	0.008358
0.100000	76.000000	-1.000000
0.100000	77.000000	0.011310
0.100000	78.000000	0.010545
0.100000	79.000000	0.012838
0.100000	80.000000	0.013797
0.100000	81.000000	0.015055
0.100000	82.000000	0.009234
0.100000	83.000000	0.010055
0.100000	84.000000	-1.000000
0.100000	85.000000	0.008913
0.100000	86.000000	0.011682
0.100000	87.000000	0.011777
0.100000	88.000000	0.011111
0.100000	89.000000	0.010764
0.100000	90.000000	0.010012
0.100000	91.000000	0.011286
0.100000	92.000000	0.009836
0.100000	93.000000	-1.000000
0.100000	94.000000	0.014779
0.100000	95.000000	0.010939
0.100000	96.000000	0.010102
0.100000	97.000000	0.009205
0.100000	98.000000	0.011685
0.100000	99.000000	0.010848
0.100000	100.000000	0.011778
0.100000	101.000000	0.011062
0.100000	102.000000	-1.000000
0.100000	103.000000	0.010556
