t	V
0.000000	-20.261097
0.100000	-19.463856
0.200000	-18.992737
0.300000	-18.887459
0.400000	-19.208872
0.500000	-20.021149
0.600000	-21.359151
0.700000	-23.200923
0.800000	-25.457824
0.900000	-27.986238
1.000000	-30.616210
1.100000	-33.186239
1.200000	-35.572120
1.300000	-37.701433
1.400000	-39.552042
1.500000	-41.139294
1.600000	-42.499417
1.700000	-43.675238
1.800000	-44.706975
1.900000	-45.627908
2.000000	-46.463396
2.100000	-47.231666
2.200000	-47.945231
2.300000	-48.612328
2.400000	-49.238103
2.500000	-49.825520
2.600000	-50.375995
2.700000	-50.889841
2.800000	-51.366571
2.900000	-51.805116
3.000000	-52.203974
3.100000	-52.561326
3.200000	-52.875124
3.300000	-53.143156
3.400000	-53.363089
3.500000	-53.532485
3.600000	-53.648802
3.700000	-53.709357
3.800000	-53.711258
3.900000	-53.651304
4.000000	-53.525843
4.100000	-53.330580
4.200000	-53.060342
4.300000	-52.708782
4.400000	-52.268006
4.500000	-51.728139
4.600000	-51.076805
4.700000	-50.298546
4.800000	-49.374243
4.900000	-48.280669
5.000000	-46.990499
5.100000	-45.473397
5.200000	-43.699296
5.300000	-41.645656
5.400000	-39.310901
5.500000	-36.735290
5.600000	-34.026134
5.700000	-31.375332
5.800000	-29.048552
5.900000	-27.330788
6.000000	-26.441951
6.100000	-26.467959
6.200000	-27.348185
6.300000	-28.918140
6.400000	-30.972930
6.500000	-33.319126
6.600000	-35.803038
6.700000	-38.318728
6.800000	-40.803764
6.900000	-43.229515
7.000000	-45.590241
7.100000	-47.893068
7.200000	-50.149375
7.300000	-52.367388
7.400000	-54.545634
7.500000	-56.667568
7.600000	-58.698746
7.700000	-60.588797
7.800000	-62.279873
7.900000	-63.720184
8.000000	-64.877274
8.100000	-65.744666
8.200000	-66.339447
8.300000	-66.693764
8.400000	-66.845357
8.500000	-66.830571
8.600000	-66.680671
8.700000	-66.420686
8.800000	-66.069675
8.900000	-65.641544
9.000000	-65.145951
9.100000	-64.589042
9.200000	-63.973954
9.300000	-63.301052
9.400000	-62.567904
9.500000	-61.768958
9.600000	-60.894873
9.700000	-59.931380
9.800000	-58.857460
9.900000	-57.642451
10.000000	-56.241444
10.100000	-54.587824
10.200000	-52.581049
10.300000	-50.066637
10.400000	-46.804589
10.500000	-42.426136
10.600000	-36.403997
10.700000	-28.157007
10.800000	-17.612839
10.900000	-6.428745
11.000000	1.818506
11.100000	4.850628
11.200000	3.475043
11.300000	-0.485846
11.400000	-5.625487
11.500000	-11.111690
11.600000	-16.510176
11.700000	-21.616804
11.800000	-26.351145
11.900000	-30.699170
12.000000	-34.685227
12.100000	-38.357585
12.200000	-41.778364
12.300000	-45.014534
12.400000	-48.129295
12.500000	-51.173059
12.600000	-54.172558
12.700000	-57.117780
12.800000	-59.950628
12.900000	-62.565873
13.000000	-64.836511
13.100000	-66.660687
13.200000	-68.002099
13.300000	-68.894771
13.400000	-69.415492
13.500000	-69.650581
13.600000	-69.675262
13.700000	-69.546854
13.800000	-69.305815
13.900000	-68.979472
14.000000	-68.585797
14.100000	-68.136384
14.200000	-67.638511
14.300000	-67.096496
14.400000	-66.512512
14.500000	-65.887031
14.600000	-65.218992
14.700000	-64.505740
14.800000	-63.742770
14.900000	-62.923227
15.000000	-62.037125
15.100000	-61.070137
15.200000	-60.001739
15.300000	-58.802318
15.400000	-57.428541
15.500000	-55.815752
15.600000	-53.865170
15.700000	-51.421982
15.800000	-48.238040
15.900000	-43.912478
16.000000	-37.821072
16.100000	-29.145364
16.200000	-17.430696
16.300000	-4.312028
16.400000	5.527072
16.500000	9.051791
16.600000	7.612978
16.700000	3.476063
16.800000	-1.837989
16.900000	-7.489646
17.000000	-13.054482
17.100000	-18.335767
17.200000	-23.255312
17.300000	-27.796128
17.400000	-31.975427
17.500000	-35.832721
17.600000	-39.423077
17.700000	-42.810704
17.800000	-46.061694
17.900000	-49.235687
18.000000	-52.375375
18.100000	-55.492382
18.200000	-58.550617
18.300000	-61.455424
18.400000	-64.065292
18.500000	-66.237600
18.600000	-67.889056
18.700000	-69.025456
18.800000	-69.721227
18.900000	-70.076201
19.000000	-70.182816
19.100000	-70.112802
19.200000	-69.916654
19.300000	-69.628023
19.400000	-69.268650
19.500000	-68.852312
19.600000	-68.387573
19.700000	-67.879579
19.800000	-67.331154
19.900000	-66.743435
20.000000	-66.116178
20.100000	-65.447840
20.200000	-64.735461
20.300000	-63.974362
20.400000	-63.157635
20.500000	-62.275347
20.600000	-61.313327
20.700000	-60.251329
20.800000	-59.060152
20.900000	-57.697034
21.000000	-56.098067
21.100000	-54.165358
21.200000	-51.744868
21.300000	-48.588143
21.400000	-44.289751
21.500000	-38.207306
21.600000	-29.469184
21.700000	-17.516084
21.800000	-3.939523
21.900000	6.298094
22.000000	9.946329
22.100000	8.510488
22.200000	4.359119
22.300000	-0.969600
22.400000	-6.638183
22.500000	-12.224748
22.600000	-17.533574
22.700000	-22.486330
22.800000	-27.064931
22.900000	-31.284609
23.000000	-35.182356
23.100000	-38.810884
23.200000	-42.232933
23.300000	-45.514504
23.400000	-48.716818
23.500000	-51.886068
23.600000	-55.039354
23.700000	-58.147211
23.800000	-61.120051
23.900000	-63.815466
24.000000	-66.081464
24.100000	-67.820781
24.200000	-69.028678
24.300000	-69.776716
24.400000	-70.167577
24.500000	-70.298462
24.600000	-70.245379
24.700000	-70.061890
24.800000	-69.783601
24.900000	-69.433419
25.000000	-69.025791
25.100000	-68.569667
25.200000	-68.070425
25.300000	-67.531054
25.400000	-66.952838
25.500000	-66.335706
25.600000	-65.678340
25.700000	-64.978095
25.800000	-64.230734
25.900000	-63.429973
26.000000	-62.566765
26.100000	-61.628211
26.200000	-60.595916
26.300000	-59.443434
26.400000	-58.132203
26.500000	-56.604899
26.600000	-54.774247
26.700000	-52.503752
26.800000	-49.574227
26.900000	-45.627483
27.000000	-40.085681
27.100000	-32.108956
27.200000	-20.920031
27.300000	-7.293581
27.400000	4.433946
27.500000	9.812087
27.600000	9.439425
27.700000	5.802105
27.800000	0.671405
27.900000	-4.965493
28.000000	-10.602608
28.100000	-15.999420
28.200000	-21.054497
28.300000	-25.737514
28.400000	-30.056206
28.500000	-34.042034
28.600000	-37.743542
28.700000	-41.221018
28.800000	-44.540167
28.900000	-47.764534
29.000000	-50.946046
29.100000	-54.112098
29.200000	-57.248532
29.300000	-60.283310
29.400000	-63.085468
29.500000	-65.497843
29.600000	-67.400116
29.700000	-68.759967
29.800000	-69.631830
29.900000	-70.115010
30.000000	-70.311566
30.100000	-70.304655
30.200000	-70.154181
30.300000	-69.900433
30.400000	-69.569479
30.500000	-69.177815
30.600000	-68.735704
30.700000	-68.249372
30.800000	-67.722385
30.900000	-67.156458
31.000000	-66.551889
31.100000	-65.907731
31.200000	-65.221766
31.300000	-64.490298
31.400000	-63.707761
31.500000	-62.866095
31.600000	-61.953797
31.700000	-60.954479
31.800000	-59.844662
31.900000	-58.590284
32.000000	-57.141050
32.100000	-55.420994
32.200000	-53.312332
32.300000	-50.627391
32.400000	-47.060500
32.500000	-42.113302
32.600000	-35.022559
32.700000	-24.898816
32.800000	-11.750044
32.900000	1.263313
33.000000	8.874449
33.100000	10.081368
33.200000	7.255145
33.300000	2.465509
33.400000	-3.082084
33.500000	-8.755737
33.600000	-14.247047
33.700000	-19.419520
33.800000	-24.224815
33.900000	-28.660528
34.000000	-32.751270
34.100000	-36.540492
34.200000	-40.085198
34.300000	-43.450042
34.400000	-46.700203
34.500000	-49.892683
34.600000	-53.064712
34.700000	-56.217892
34.800000	-59.300490
34.900000	-62.199081
35.000000	-64.758777
35.100000	-66.839371
35.200000	-68.376631
35.300000	-69.399965
35.400000	-69.999500
35.500000	-70.280085
35.600000	-70.332375
35.700000	-70.223824
35.800000	-70.000621
35.900000	-69.692947
36.000000	-69.320015
36.100000	-68.893837
36.200000	-68.421777
36.300000	-67.908159
36.400000	-67.355238
36.500000	-66.763750
36.600000	-66.133152
36.700000	-65.461664
36.800000	-64.746121
36.900000	-63.981643
37.000000	-63.161100
37.100000	-62.274286
37.200000	-61.306665
37.300000	-60.237473
37.400000	-59.036728
37.500000	-57.660450
37.600000	-56.042746
37.700000	-54.082378
37.800000	-51.619479
37.900000	-48.395242
38.000000	-43.986071
38.100000	-37.721113
38.200000	-28.702769
38.300000	-16.424398
38.400000	-2.754551
38.500000	7.104778
38.600000	10.268081
38.700000	8.525886
38.800000	4.226508
38.900000	-1.158204
39.000000	-6.836114
39.100000	-12.410866
39.200000	-17.700025
39.300000	-22.631817
39.400000	-27.191274
39.500000	-31.395093
39.600000	-35.280946
39.700000	-38.901821
39.800000	-42.320500
39.900000	-45.602858
40.000000	-48.809798
40.100000	-51.986833
40.200000	-55.149699
40.300000	-58.266544
40.400000	-61.244436
40.500000	-63.937791
40.600000	-66.193611
40.700000	-67.916860
40.800000	-69.106854
40.900000	-69.838552
41.000000	-70.216247
41.100000	-70.337309
41.200000	-70.277228
41.300000	-70.088891
41.400000	-69.807308
41.500000	-69.454923
41.600000	-69.045852
41.700000	-68.588815
41.800000	-68.089029
41.900000	-67.549373
42.000000	-66.971058
42.100000	-66.353963
42.200000	-65.696735
42.300000	-64.996710
42.400000	-64.249642
42.500000	-63.449246
42.600000	-62.586482
42.700000	-61.648471
42.800000	-60.616848
42.900000	-59.465210
43.000000	-58.155058
43.100000	-56.629159
43.200000	-54.800361
43.300000	-52.532332
43.400000	-49.606056
43.500000	-45.663388
43.600000	-40.125869
43.700000	-32.150712
43.800000	-20.952372
43.900000	-7.294283
44.000000	4.476263
44.100000	9.878130
44.200000	9.512851
44.300000	5.877763
44.400000	0.747550
44.500000	-4.889939
44.600000	-10.528508
44.700000	-15.927493
44.800000	-20.985334
44.900000	-25.671568
45.000000	-29.993752
45.100000	-33.983124
45.200000	-37.688003
45.300000	-41.168507
45.400000	-44.490282
45.500000	-47.716952
45.600000	-50.900690
45.700000	-54.069327
45.800000	-57.209311
45.900000	-60.249210
46.000000	-63.058295
46.100000	-65.478879
46.200000	-67.389441
46.300000	-68.756461
46.400000	-69.633797
46.500000	-70.120829
46.600000	-70.320005
46.700000	-70.314894
46.800000	-70.165724
46.900000	-69.912996
47.000000	-69.582912
47.100000	-69.192044
47.200000	-68.750699
47.300000	-68.265133
47.400000	-67.738927
47.500000	-67.173811
47.600000	-66.570097
47.700000	-65.926855
47.800000	-65.241891
47.900000	-64.511542
48.000000	-63.730288
48.100000	-62.890134
48.200000	-61.979667
48.300000	-60.982637
48.400000	-59.875760
48.500000	-58.625271
48.600000	-57.181334
48.700000	-55.468718
48.800000	-53.370838
48.900000	-50.702028
49.000000	-47.159945
49.100000	-42.251333
49.200000	-35.218381
49.300000	-25.166956
49.400000	-12.060311
49.500000	1.027171
49.600000	8.797512
49.700000	10.125285
49.800000	7.362761
49.900000	2.600863
50.000000	-2.938490
50.100000	-8.613822
50.200000	-14.111521
50.300000	-19.292377
50.400000	-24.106646
50.500000	-28.551140
50.600000	-32.649931
50.700000	-36.446059
50.800000	-39.996239
50.900000	-43.365006
51.000000	-46.617618
51.100000	-49.811414
51.200000	-52.984305
51.300000	-56.139009
51.400000	-59.225277
51.500000	-62.131068
51.600000	-64.701848
51.700000	-66.796098
51.800000	-68.347189
51.900000	-69.382486
52.000000	-69.991274
52.100000	-70.278556
52.200000	-70.335557
52.300000	-70.230333
52.400000	-70.009548
52.500000	-69.703718
52.600000	-69.332271
52.700000	-68.907362
52.800000	-68.436444
52.900000	-67.923899
53.000000	-67.372028
53.100000	-66.781595
53.200000	-66.152092
53.300000	-65.481771
53.400000	-64.767507
53.500000	-64.004474
53.600000	-63.185611
53.700000	-62.300813
53.800000	-61.335686
53.900000	-60.269672
54.000000	-59.073097
54.100000	-57.702457
54.200000	-56.092613
54.300000	-54.143555
54.400000	-51.697474
54.500000	-48.499032
54.600000	-44.130259
54.700000	-37.927813
54.800000	-28.996465
54.900000	-16.798633
55.000000	-3.103936
55.100000	6.927949
55.200000	10.263382
55.300000	8.621062
55.400000	4.368376
55.500000	-0.999506
55.600000	-6.676025
55.700000	-12.256827
55.800000	-17.555267
55.900000	-22.497417
56.000000	-27.067174
56.100000	-31.280538
56.200000	-35.174675
56.300000	-38.802208
56.400000	-42.225727
56.500000	-45.511121
56.600000	-48.719560
56.700000	-51.897170
56.800000	-55.060764
56.900000	-58.180064
57.000000	-61.163880
57.100000	-63.867645
57.200000	-66.137637
57.300000	-67.876424
57.400000	-69.080692
57.500000	-69.823899
57.600000	-70.210128
57.700000	-70.337252
57.800000	-70.281436
57.900000	-70.096153
58.000000	-69.816839
58.100000	-69.466229
58.200000	-69.058624
58.300000	-68.602866
58.400000	-68.104251
58.500000	-67.565715
58.600000	-66.988506
58.700000	-66.372539
58.800000	-65.716499
