t	V
0.000000	-5.572582
0.100000	-16.374823
0.200000	-26.521599
0.300000	-35.121300
0.400000	-41.772192
0.500000	-46.533216
0.600000	-49.770950
0.700000	-51.941617
0.800000	-53.430864
0.900000	-54.502885
1.000000	-55.316738
1.100000	-55.960237
1.200000	-56.478805
1.300000	-56.894693
1.400000	-57.218363
1.500000	-57.454726
1.600000	-57.606341
1.700000	-57.674896
1.800000	-57.661773
1.900000	-57.568120
2.000000	-57.394692
2.100000	-57.141557
2.200000	-56.807751
2.300000	-56.390862
2.400000	-55.886551
2.500000	-55.287971
2.600000	-54.585030
2.700000	-53.763436
2.800000	-52.803440
2.900000	-51.678201
3.000000	-50.351737
3.100000	-48.776566
3.200000	-46.891587
3.300000	-44.621819
3.400000	-41.883803
3.500000	-38.604425
3.600000	-34.764877
3.700000	-30.477563
3.800000	-26.074438
3.900000	-22.126922
4.000000	-19.297701
4.100000	-18.056040
4.200000	-18.476357
4.300000	-20.279042
4.400000	-23.023439
4.500000	-26.282157
4.600000	-29.726566
4.700000	-33.142195
4.800000	-36.411409
4.900000	-39.487184
5.000000	-42.368138
5.100000	-45.078180
5.200000	-47.651342
5.300000	-50.120879
5.400000	-52.511105
5.500000	-54.830783
5.600000	-57.068036
5.700000	-59.188390
5.800000	-61.138687
5.900000	-62.858571
6.000000	-64.297077
6.100000	-65.427142
6.200000	-66.250878
6.300000	-66.794360
6.400000	-67.096856
6.500000	-67.200547
6.600000	-67.143869
6.700000	-66.958592
6.800000	-66.669390
6.900000	-66.294594
7.000000	-65.847314
7.100000	-65.336479
7.200000	-64.767641
7.300000	-64.143488
7.400000	-63.464091
7.500000	-62.726869
7.600000	-61.926277
7.700000	-61.053150
7.800000	-60.093604
7.900000	-59.027282
8.000000	-57.824588
8.100000	-56.442288
8.200000	-54.816400
8.300000	-52.850551
8.400000	-50.396862
8.500000	-47.225487
8.600000	-42.981626
8.700000	-37.150123
8.800000	-29.133224
8.900000	-18.747049
9.000000	-7.415194
9.100000	1.352579
9.200000	4.946318
9.300000	3.935688
9.400000	0.152018
9.500000	-4.928304
9.600000	-10.418334
9.700000	-15.850950
9.800000	-21.004263
9.900000	-25.788580
10.000000	-30.184777
10.100000	-34.214047
10.200000	-37.922644
10.300000	-41.371679
10.400000	-44.628105
10.500000	-47.756119
10.600000	-50.808258
10.700000	-53.814796
10.800000	-56.770810
10.900000	-59.624165
11.000000	-62.274249
11.100000	-64.594144
11.200000	-66.476168
11.300000	-67.875106
11.400000	-68.817793
11.500000	-69.378027
11.600000	-69.642572
11.700000	-69.688668
11.800000	-69.575859
11.900000	-69.346451
12.000000	-69.029121
12.100000	-68.642773
12.200000	-68.199621
12.300000	-67.707367
12.400000	-67.170621
12.500000	-66.591779
12.600000	-65.971501
12.700000	-65.308908
12.800000	-64.601553
12.900000	-63.845180
13.000000	-63.033267
