t	V
0.000000	-21.357764
0.100000	-21.364372
0.200000	-21.369828
0.300000	-21.374138
0.400000	-21.377309
0.500000	-21.379352
0.600000	-21.380278
0.700000	-21.380102
0.800000	-21.378839
0.900000	-21.376509
1.000000	-21.373131
1.100000	-21.368726
1.200000	-21.363317
1.300000	-21.356928
1.400000	-21.349586
1.500000	-21.341318
1.600000	-21.332152
1.700000	-21.322117
1.800000	-21.311244
1.900000	-21.299564
2.000000	-21.287110
2.100000	-21.273914
2.200000	-21.260011
2.300000	-21.245435
2.400000	-21.230220
2.500000	-21.214402
2.600000	-21.198018
2.700000	-21.181103
2.800000	-21.163693
2.900000	-21.145827
3.000000	-21.127540
3.100000	-21.108870
3.200000	-21.089854
3.300000	-21.070530
3.400000	-21.050934
3.500000	-21.031105
3.600000	-21.011078
3.700000	-20.990891
3.800000	-20.970581
3.900000	-20.950184
4.000000	-20.929737
4.100000	-20.909276
4.200000	-20.888836
4.300000	-20.868453
4.400000	-20.848161
4.500000	-20.827995
4.600000	-20.807989
4.700000	-20.788176
4.800000	-20.768590
4.900000	-20.749263
5.000000	-20.730225
5.100000	-20.711510
5.200000	-20.693146
5.300000	-20.675164
5.400000	-20.657592
5.500000	-20.640460
5.600000	-20.623793
5.700000	-20.607619
5.800000	-20.591964
5.900000	-20.576852
6.000000	-20.562306
6.100000	-20.548351
6.200000	-20.535007
6.300000	-20.522295
6.400000	-20.510236
6.500000	-20.498847
6.600000	-20.488146
6.700000	-20.478149
6.800000	-20.468872
6.900000	-20.460328
7.000000	-20.452529
7.100000	-20.445487
7.200000	-20.439211
7.300000	-20.433710
7.400000	-20.428991
7.500000	-20.425060
7.600000	-20.421920
7.700000	-20.419575
7.800000	-20.418026
7.900000	-20.417271
8.000000	-20.417310
8.100000	-20.418139
8.200000	-20.419753
8.300000	-20.422146
8.400000	-20.425309
8.500000	-20.429234
8.600000	-20.433908
8.700000	-20.439320
8.800000	-20.445455
8.900000	-20.452298
9.000000	-20.459832
9.100000	-20.468037
9.200000	-20.476895
9.300000	-20.486385
9.400000	-20.496482
9.500000	-20.507164
9.600000	-20.518406
9.700000	-20.530181
9.800000	-20.542462
9.900000	-20.555221
10.000000	-20.568428
10.100000	-20.582054
10.200000	-20.596066
10.300000	-20.610434
10.400000	-20.625125
10.500000	-20.640106
10.600000	-20.655344
10.700000	-20.670804
10.800000	-20.686452
10.900000	-20.702254
11.000000	-20.718176
11.100000	-20.734183
11.200000	-20.750240
11.300000	-20.766313
11.400000	-20.782368
11.500000	-20.798371
11.600000	-20.814288
11.700000	-20.830087
11.800000	-20.845736
11.900000	-20.861202
12.000000	-20.876454
12.100000	-20.891464
12.200000	-20.906200
12.300000	-20.920635
12.400000	-20.934742
12.500000	-20.948494
12.600000	-20.961866
12.700000	-20.974833
12.800000	-20.987374
12.900000	-20.999466
13.000000	-21.011089
13.100000	-21.022224
13.200000	-21.032854
13.300000	-21.042961
13.400000	-21.052531
13.500000	-21.061550
13.600000	-21.070006
13.700000	-21.077888
13.800000	-21.085187
13.900000	-21.091894
14.000000	-21.098002
14.100000	-21.103507
14.200000	-21.108403
14.300000	-21.112690
14.400000	-21.116364
14.500000	-21.119425
14.600000	-21.121876
14.700000	-21.123718
14.800000	-21.124955
14.900000	-21.125590
15.000000	-21.125632
15.100000	-21.125085
15.200000	-21.123958
15.300000	-21.122260
15.400000	-21.120002
15.500000	-21.117193
15.600000	-21.113846
15.700000	-21.109973
15.800000	-21.105588
15.900000	-21.100704
16.000000	-21.095338
16.100000	-21.089505
16.200000	-21.083221
16.300000	-21.076502
16.400000	-21.069367
16.500000	-21.061834
16.600000	-21.053920
16.700000	-21.045645
16.800000	-21.037028
16.900000	-21.028089
17.000000	-21.018849
17.100000	-21.009326
17.200000	-20.999542
17.300000	-20.989518
17.400000	-20.979275
17.500000	-20.968833
17.600000	-20.958215
17.700000	-20.947440
17.800000	-20.936531
17.900000	-20.925509
18.000000	-20.914395
18.100000	-20.903210
18.200000	-20.891976
18.300000	-20.880714
18.400000	-20.869444
18.500000	-20.858188
18.600000	-20.846965
18.700000	-20.835796
18.800000	-20.824701
18.900000	-20.813699
19.000000	-20.802811
19.100000	-20.792054
19.200000	-20.781449
19.300000	-20.771012
19.400000	-20.760763
19.500000	-20.750717
19.600000	-20.740893
19.700000	-20.731306
19.800000	-20.721972
19.900000	-20.712908
20.000000	-20.704127
20.100000	-20.695645
20.200000	-20.687473
20.300000	-20.679627
20.400000	-20.672117
20.500000	-20.664956
20.600000	-20.658154
20.700000	-20.651723
20.800000	-20.645671
20.900000	-20.640008
21.000000	-20.634741
21.100000	-20.629878
21.200000	-20.625426
21.300000	-20.621390
21.400000	-20.617776
21.500000	-20.614588
21.600000	-20.611828
21.700000	-20.609501
21.800000	-20.607607
21.900000	-20.606147
22.000000	-20.605122
22.100000	-20.604530
22.200000	-20.604371
22.300000	-20.604642
22.400000	-20.605340
22.500000	-20.606461
22.600000	-20.607999
22.700000	-20.609950
22.800000	-20.612306
22.900000	-20.615062
23.000000	-20.618208
23.100000	-20.621736
23.200000	-20.625636
23.300000	-20.629899
23.400000	-20.634513
23.500000	-20.639467
23.600000	-20.644750
23.700000	-20.650347
23.800000	-20.656246
23.900000	-20.662433
24.000000	-20.668893
