t	V
0.000000	5.169475
0.100000	5.685529
0.200000	6.189553
0.300000	6.672726
0.400000	7.126492
0.500000	7.543017
0.600000	7.915557
0.700000	8.238703
0.800000	8.508488
0.900000	8.722372
1.000000	8.879121
1.100000	8.978617
1.200000	9.021633
1.300000	9.009583
1.400000	8.944294
1.500000	8.827778
1.600000	8.662043
1.700000	8.448911
1.800000	8.189869
1.900000	7.885921
2.000000	7.537450
2.100000	7.144069
2.200000	6.704452
2.300000	6.216130
2.400000	5.675228
2.500000	5.076121
2.600000	4.410976
2.700000	3.669137
2.800000	2.836328
2.900000	1.893634
3.000000	0.816325
3.100000	-0.427253
3.200000	-1.876025
3.300000	-3.574243
3.400000	-5.564518
3.500000	-7.872862
3.600000	-10.486876
3.700000	-13.338612
3.800000	-16.310225
3.900000	-19.265734
4.000000	-22.087634
4.100000	-24.696405
4.200000	-27.050695
4.300000	-29.137967
4.400000	-30.964025
4.500000	-32.544885
4.600000	-33.901373
4.700000	-35.055858
4.800000	-36.030392
4.900000	-36.845727
5.000000	-37.520867
5.100000	-38.072913
5.200000	-38.517082
5.300000	-38.866813
5.400000	-39.133917
5.500000	-39.328741
5.600000	-39.460329
5.700000	-39.536579
5.800000	-39.564386
5.900000	-39.549766
6.000000	-39.497973
6.100000	-39.413595
6.200000	-39.300648
6.300000	-39.162644
6.400000	-39.002663
6.500000	-38.823409
6.600000	-38.627257
6.700000	-38.416297
6.800000	-38.192374
6.900000	-37.957115
7.000000	-37.711959
7.100000	-37.458182
7.200000	-37.196914
7.300000	-36.929162
7.400000	-36.655820
7.500000	-36.377686
7.600000	-36.095472
7.700000	-35.809816
7.800000	-35.521287
7.900000	-35.230397
8.000000	-34.937605
8.100000	-34.643325
8.200000	-34.347926
8.300000	-34.051744
8.400000	-33.755080
8.500000	-33.458207
8.600000	-33.161368
8.700000	-32.864787
8.800000	-32.568663
8.900000	-32.273176
9.000000	-31.978489
9.100000	-31.684750
9.200000	-31.392091
9.300000	-31.100630
9.400000	-30.810476
9.500000	-30.521723
9.600000	-30.234458
9.700000	-29.948756
9.800000	-29.664686
9.900000	-29.382307
10.000000	-29.101672
10.100000	-28.822825
10.200000	-28.545807
10.300000	-28.270649
10.400000	-27.997380
10.500000	-27.726021
10.600000	-27.456591
10.700000	-27.189101
10.800000	-26.923560
10.900000	-26.659972
11.000000	-26.398338
11.100000	-26.138654
11.200000	-25.880913
11.300000	-25.625104
11.400000	-25.371213
11.500000	-25.119222
11.600000	-24.869113
11.700000	-24.620860
11.800000	-24.374438
11.900000	-24.129816
12.000000	-23.886962
12.100000	-23.645839
12.200000	-23.406409
12.300000	-23.168630
12.400000	-22.932456
12.500000	-22.697837
12.600000	-22.464723
12.700000	-22.233055
12.800000	-22.002774
12.900000	-21.773816
13.000000	-21.546111
13.100000	-21.319587
13.200000	-21.094163
13.300000	-20.869756
13.400000	-20.646275
13.500000	-20.423621
13.600000	-20.201691
13.700000	-19.980371
13.800000	-19.759538
13.900000	-19.539060
14.000000	-19.318793
14.100000	-19.098581
14.200000	-18.878252
14.300000	-18.657620
14.400000	-18.436480
14.500000	-18.214605
14.600000	-17.991747
14.700000	-17.767629
14.800000	-17.541945
14.900000	-17.314352
15.000000	-17.084468
15.100000	-16.851863
15.200000	-16.616054
15.300000	-16.376490
15.400000	-16.132551
15.500000	-15.883524
15.600000	-15.628596
15.700000	-15.366827
15.800000	-15.097133
15.900000	-14.818248
16.000000	-14.528697
16.100000	-14.226738
16.200000	-13.910313
16.300000	-13.576967
16.400000	-13.223751
16.500000	-12.847099
16.600000	-12.442660
16.700000	-12.005077
16.800000	-11.527695
16.900000	-11.002165
17.000000	-10.417895
17.100000	-9.761314
17.200000	-9.014851
17.300000	-8.155560
17.400000	-7.153316
17.500000	-5.968660
17.600000	-4.550815
17.700000	-2.837639
17.800000	-0.762061
17.900000	1.726601
18.000000	4.619776
18.100000	7.802491
18.200000	11.055944
18.300000	14.135488
18.400000	16.858171
18.500000	19.132552
18.600000	20.940472
18.700000	22.307465
18.800000	23.280037
18.900000	23.911920
19.000000	24.256669
19.100000	24.363998
19.200000	24.278199
19.300000	24.037674
19.400000	23.675060
19.500000	23.217657
19.600000	22.687977
19.700000	22.104349
19.800000	21.481505
19.900000	20.831123
20.000000	20.162324
20.100000	19.482103
20.200000	18.795703
20.300000	18.106929
20.400000	17.418411
20.500000	16.731817
20.600000	16.048026
20.700000	15.367259
20.800000	14.689181
20.900000	14.012973
21.000000	13.337374
21.100000	12.660700
21.200000	11.980836
21.300000	11.295206
21.400000	10.600706
21.500000	9.893609
21.600000	9.169421
21.700000	8.422684
21.800000	7.646698
21.900000	6.833149
22.000000	5.971587
22.100000	5.048737
22.200000	4.047555
22.300000	2.946016
22.400000	1.715662
22.500000	0.320132
22.600000	-1.285505
22.700000	-3.152707
22.800000	-5.331120
22.900000	-7.849874
23.000000	-10.690297
23.100000	-13.766569
23.200000	-16.937994
23.300000	-20.052102
23.400000	-22.986712
23.500000	-25.666722
23.600000	-28.059041
23.700000	-30.159608
23.800000	-31.981399
23.900000	-33.545990
24.000000	-34.878336
24.100000	-36.003800
24.200000	-36.946571
24.300000	-37.728915
24.400000	-38.370885
24.500000	-38.890302
24.600000	-39.302858
24.700000	-39.622296
24.800000	-39.860605
24.900000	-40.028220
25.000000	-40.134212
25.100000	-40.186460
25.200000	-40.191812
25.300000	-40.156216
25.400000	-40.084849
25.500000	-39.982213
25.600000	-39.852236
25.700000	-39.698344
25.800000	-39.523531
25.900000	-39.330418
26.000000	-39.121303
26.100000	-38.898203
26.200000	-38.662893
26.300000	-38.416938
26.400000	-38.161717
26.500000	-37.898452
26.600000	-37.628224
26.700000	-37.351993
26.800000	-37.070611
26.900000	-36.784840
27.000000	-36.495356
27.100000	-36.202764
27.200000	-35.907607
27.300000	-35.610370
27.400000	-35.311488
27.500000	-35.011353
27.600000	-34.710317
27.700000	-34.408697
27.800000	-34.106778
27.900000	-33.804818
28.000000	-33.503050
28.100000	-33.201684
28.200000	-32.900908
28.300000	-32.600896
28.400000	-32.301800
28.500000	-32.003761
28.600000	-31.706903
28.700000	-31.411340
28.800000	-31.117174
28.900000	-30.824496
29.000000	-30.533386
29.100000	-30.243918
29.200000	-29.956155
29.300000	-29.670155
29.400000	-29.385966
29.500000	-29.103632
29.600000	-28.823190
29.700000	-28.544671
29.800000	-28.268100
29.900000	-27.993500
30.000000	-27.720885
30.100000	-27.450268
30.200000	-27.181656
30.300000	-26.915052
30.400000	-26.650456
30.500000	-26.387865
30.600000	-26.127270
30.700000	-25.868662
30.800000	-25.612025
30.900000	-25.357343
31.000000	-25.104595
31.100000	-24.853758
31.200000	-24.604806
31.300000	-24.357709
31.400000	-24.112436
31.500000	-23.868950
31.600000	-23.627215
31.700000	-23.387188
31.800000	-23.148824
31.900000	-22.912078
32.000000	-22.676896
32.100000	-22.443225
32.200000	-22.211007
32.300000	-21.980178
32.400000	-21.750673
32.500000	-21.522420
32.600000	-21.295344
32.700000	-21.069362
32.800000	-20.844389
32.900000	-20.620331
33.000000	-20.397087
33.100000	-20.174549
33.200000	-19.952602
33.300000	-19.731120
33.400000	-19.509965
33.500000	-19.288991
33.600000	-19.068037
33.700000	-18.846927
33.800000	-18.625467
33.900000	-18.403449
34.000000	-18.180638
34.100000	-17.956778
34.200000	-17.731584
34.300000	-17.504740
34.400000	-17.275893
34.500000	-17.044647
34.600000	-16.810557
34.700000	-16.573123
34.800000	-16.331776
34.900000	-16.085869
35.000000	-15.834665
35.100000	-15.577317
35.200000	-15.312848
35.300000	-15.040125
35.400000	-14.757830
35.500000	-14.464417
35.600000	-14.158064
35.700000	-13.836612
35.800000	-13.497479
35.900000	-13.137560
36.000000	-12.753090
36.100000	-12.339463
36.200000	-11.890999
36.300000	-11.400617
36.400000	-10.859409
36.500000	-10.256042
36.600000	-9.575951
36.700000	-8.800228
36.800000	-7.904129
36.900000	-6.855152
37.000000	-5.610839
37.100000	-4.117052
37.200000	-2.309093
37.300000	-0.121268
37.400000	2.486004
37.500000	5.478552
37.600000	8.708725
37.700000	11.940152
37.800000	14.937989
37.900000	17.544197
38.000000	19.690490
38.100000	21.373685
38.200000	22.627068
38.300000	23.500275
38.400000	24.047601
38.500000	24.321848
38.600000	24.371373
38.700000	24.238890
38.800000	23.961206
38.900000	23.569454
39.000000	23.089569
39.100000	22.542863
39.200000	21.946621
39.300000	21.314687
39.400000	20.657990
39.500000	19.985029
39.600000	19.302281
39.700000	18.614565
39.800000	17.925339
39.900000	17.236947
40.000000	16.550824
40.100000	15.867656
40.200000	15.187502
40.300000	14.509888
40.400000	13.833869
40.500000	13.158068
40.600000	12.480686
40.700000	11.799487
40.800000	11.111760
40.900000	10.414245
41.000000	9.703026
41.100000	8.973373
41.200000	8.219526
41.300000	7.434397
41.400000	6.609160
41.500000	5.732690
41.600000	4.790809
41.700000	3.765276
41.800000	2.632506
41.900000	1.362064
42.000000	-0.084692
42.100000	-1.754812
42.200000	-3.700455
42.300000	-5.968109
42.400000	-8.576953
42.500000	-11.491381
42.600000	-14.608142
42.700000	-17.778557
42.800000	-20.854959
42.900000	-23.727198
43.000000	-26.332416
43.100000	-28.646571
43.200000	-30.671177
43.300000	-32.422175
43.400000	-33.922439
43.500000	-35.197256
43.600000	-36.271786
43.700000	-37.169757
43.800000	-37.912860
43.900000	-38.520549
44.000000	-39.010063
44.100000	-39.396559
44.200000	-39.693291
44.300000	-39.911817
44.400000	-40.062189
44.500000	-40.153145
44.600000	-40.192276
44.700000	-40.186177
44.800000	-40.140580
44.900000	-40.060471
45.000000	-39.950193
45.100000	-39.813531
45.200000	-39.653792
45.300000	-39.473863
45.400000	-39.276276
45.500000	-39.063250
45.600000	-38.836734
45.700000	-38.598444
45.800000	-38.349893
45.900000	-38.092417
46.000000	-37.827196
46.100000	-37.555280
46.200000	-37.277598
46.300000	-36.994976
46.400000	-36.708152
46.500000	-36.417784
46.600000	-36.124458
46.700000	-35.828701
46.800000	-35.530985
46.900000	-35.231732
47.000000	-34.931324
47.100000	-34.630102
47.200000	-34.328375
47.300000	-34.026420
47.400000	-33.724489
47.500000	-33.422808
47.600000	-33.121581
47.700000	-32.820992
47.800000	-32.521209
47.900000	-32.222381
48.000000	-31.924644
48.100000	-31.628120
48.200000	-31.332919
48.300000	-31.039140
48.400000	-30.746871
48.500000	-30.456192
48.600000	-30.167171
48.700000	-29.879872
48.800000	-29.594349
48.900000	-29.310649
49.000000	-29.028815
49.100000	-28.748882
49.200000	-28.470879
49.300000	-28.194831
49.400000	-27.920757
49.500000	-27.648673
49.600000	-27.378589
49.700000	-27.110511
49.800000	-26.844441
49.900000	-26.580380
50.000000	-26.318320
50.100000	-26.058255
50.200000	-25.800173
50.300000	-25.544058
50.400000	-25.289892
50.500000	-25.037656
50.600000	-24.787323
50.700000	-24.538868
50.800000	-24.292259
50.900000	-24.047465
51.000000	-23.804449
51.100000	-23.563172
51.200000	-23.323592
51.300000	-23.085664
51.400000	-22.849339
51.500000	-22.614565
51.600000	-22.381286
51.700000	-22.149444
51.800000	-21.918974
51.900000	-21.689809
52.000000	-21.461877
52.100000	-21.235100
52.200000	-21.009396
52.300000	-20.784675
52.400000	-20.560844
52.500000	-20.337799
52.600000	-20.115430
52.700000	-19.893619
52.800000	-19.672237
52.900000	-19.451146
53.000000	-19.230194
53.100000	-19.009215
53.200000	-18.788032
53.300000	-18.566445
53.400000	-18.344239
53.500000	-18.121175
53.600000	-17.896989
53.700000	-17.671388
53.800000	-17.444047
53.900000	-17.214602
54.000000	-16.982644
54.100000	-16.747716
54.200000	-16.509299
54.300000	-16.266805
54.400000	-16.019565
54.500000	-15.766813
54.600000	-15.507671
54.700000	-15.241123
54.800000	-14.965989
54.900000	-14.680896
55.000000	-14.384230
55.100000	-14.074086
55.200000	-13.748199
55.300000	-13.403862
55.400000	-13.037807
55.500000	-12.646066
55.600000	-12.223774
55.700000	-11.764911
55.800000	-11.261960
55.900000	-10.705432
56.000000	-10.083223
56.100000	-9.379737
56.200000	-8.574675
56.300000	-7.641433
56.400000	-6.545075
56.500000	-5.240148
56.600000	-3.669380
56.700000	-1.766330
56.800000	0.531331
56.900000	3.248764
57.000000	6.323794
57.100000	9.579162
57.200000	12.769041
57.300000	15.674149
57.400000	18.161378
57.500000	20.182771
57.600000	21.747368
57.700000	22.894376
57.800000	23.675534
57.900000	24.145173
58.000000	24.355110
